Drug,Interaction_Text,Risk_Level
acenocoumarol,"ensure consistent vitamin k intake. changes in vitamin k intake may impact coagulation. foods containing vitamin k include spinach, kale, and swiss chard.",Low
acenocoumarol,exercise caution with st. john's wort.,Moderate
paromomycin,take with food.,Low
cholestyramine,take with fluids. do not take with carbonated fluids.,Low
cholestyramine,take with food. take with a meal unless this interferes with other medications.,Low
antipyrine,"take with or without food. when taken after meals, the cmax and tmax of oral antipyrine are reduced, but the overall bioavailability is not significantly impacted.",Low
alfacalcidol,take with or without food. food does not affect the bioavailability.,Low
glutethimide,avoid alcohol.,High
glutethimide,take with or without food. the absorption is unaffected by food.,Low
phenazopyridine,take with food. food reduces irritation.,Low
diamorphine,avoid alcohol.,High
dichloralphenazone,avoid alcohol.,High
difenoxin,avoid alcohol. alcohol can enhance the cns depressant effects of this drug.,High
flunitrazepam,avoid alcohol.,High
flunitrazepam,avoid grapefruit products.,High
flunitrazepam,limit caffeine intake.,Moderate
flunitrazepam,take with food.,Low
dihydrocodeine,avoid alcohol. alcohol can enhance the cns depressant effects of this drug.,High
cloxazolam,"avoid alcohol. alcohol can increase cns depressant effects, such as fatal respiratory or cardiac depression.",High
bromazepam,avoid alcohol. ingesting alcohol may increase the sedative and cns depressant effects of bromazepam.,High
bromazepam,take with or without food. taking bromazepam with food may reduce its cmax and auc.,Low
chloral hydrate,"avoid alcohol. ingesting alcohol may cause a disulfiram-like-reaction (flushing, dizziness, tachycardia).",High
chloral hydrate,"take after a meal. if chloral hydrate is being used for sedation, it should be taken after meals. otherwise, it can be taken with or without food.",Low
fludiazepam,avoid alcohol.,High
fludiazepam,avoid grapefruit products.,High
fludiazepam,limit caffeine intake.,Moderate
attapulgite,take with or without food.,Low
dextroamphetamine,"avoid fruit juice. fruit juice may acidify the gastrointestinal tract, decreasing absorption of amphetamines.",High
phendimetrazine,take separate from meals. take phendimetrazine one hour before eating.,Low
oxprenolol,avoid alcohol.,High
oxprenolol,avoid natural licorice.,High
oxprenolol,take with or without food. the absorption is unaffected by food.,Low
liotrix,avoid calcium supplements/calcium rich foods. calcium may interfere with the absorption of this drug by forming an insoluble complex. separate medication administration by at least 4 hours.,High
liotrix,avoid grapefruit products. grapefruit may delay the absorption of this medicaiton.,High
liotrix,avoid high-fiber foods. high-fiber foods may affect absorption. separate medication administration by at least 1 hour.,High
liotrix,avoid iron supplements. iron may interfere with the absorption of this drug by forming an insoluble complex. separate medication administration by at least 4 hours.,High
liotrix,avoid multivalent ions. avoid iron and calcium containing products as well as antacids.,High
liotrix,take before a meal. take 30-60 minutes before breakfast.,Low
liotrix,take on an empty stomach.,Low
ursodeoxycholic acid,take with food.,Low
ketazolam,avoid alcohol.,High
ketazolam,avoid grapefruit products.,High
ketazolam,limit caffeine intake.,Moderate
ketazolam,take with food.,Low
prazepam,avoid alcohol.,High
prazepam,avoid grapefruit products.,High
prazepam,limit caffeine intake.,Moderate
prazepam,take with food.,Low
quazepam,avoid alcohol. ingesting alcohol may increase the drowsiness and cns depression caused by quazepam.,High
everolimus,"avoid grapefruit products. grapefruit inhibits the metabolism of everolimus through the cyp3a4 pathway and, therefore, may increase serum levels of everolimus.",High
everolimus,avoid st. john's wort. coadministration of st. john's wort with everolimus may reduce serum levels of everolimus by inducing cyp3a4 and p-glycoprotein (pgp).,High
everolimus,take at the same time every day.,Low
everolimus,take with a full glass of water.,Low
everolimus,take with or without food. take consistently with regard to food as food may reduce the auc and cmax of everolimus.,Low
solifenacin,take with or without food.,Low
iron,take with or without food. many different products contain iron; refer to the product monograph for more specific instruction. taking iron with food may reduce gastric irritation.,Low
zinc,avoid milk and dairy products. separate the use of zinc from these products by at least 2 hours before administration. separate for 2 hours after administration if these products also contain phosphorus.,High
zinc,"do not take with bran and high fiber foods. for optimal absorption, take zinc at least 2 hours before or after eating high-fiber foods.",Low
zinc,take on an empty stomach. take at least 1 hour before and 2 hours after eating for optimal absorption. zinc can be taken with food to reduce gastrointestinal upset.,Low
cinolazepam,avoid alcohol.,High
cinolazepam,limit caffeine intake.,Moderate
cinolazepam,take with food.,Low
nitrazepam,avoid alcohol.,High
nitrazepam,limit caffeine intake.,Moderate
nitrazepam,take with food.,Low
probucol,take with food. food increases bioavailability.,Low
tiaprofenic acid,avoid alcohol.,High
tiaprofenic acid,take with food.,Low
lopinavir,avoid st. john's wort. induction of cyp3a by co-administration with st. john's wort may result in reduced drug plasma concentrations and therapeutic failure.,High
lopinavir,"take with food. the oral solution formulation must be taken with food, but the tablet formulation may be taken with or without food.",Low
bacampicillin,take separate from antacids. elevated gastric ph may reduce the bioavailability of bacampicillin.,Low
bacampicillin,take with or without food. food may reduce the bioavailability of bacampicillin.,Low
pivampicillin,take with or without food. the absorption is unaffected by food.,Low
pivmecillinam,take with or without food. the absorption is unaffected by food.,Low
periciazine,avoid alcohol.,High
periciazine,take with food. food reduces irritation.,Low
deferasirox,take at the same time every day.,Low
deferasirox,take on an empty stomach. take at least 30 minutes before food.,Low
deferasirox,"take separate from meals. administration with food causes inconsistent bioavailability. may administer granules with a light meal, if necessary.",Low
valganciclovir,take with food.,Low
hydroxychloroquine,take with food. take with a meal or glass of milk.,Low
amyl nitrite,avoid alcohol. the use of alcohol with amyl nitrite may worsen hypotension and has the potential to cause cardiovascular collapse.,High
erythrityl tetranitrate,avoid alcohol.,High
erythrityl tetranitrate,take on an empty stomach. take at least 1 hour before or 2 hours after meals.,Low
acepromazine,avoid alcohol.,High
acepromazine,take with food. food reduces irritation.,Low
molindone,"avoid alcohol. severe cns depression, which can be caused by alcohol, is a contraindication for molindone hydrochloride therapy.",High
phenindamine,avoid alcohol.,High
phenindamine,take with food. food reduces irritation.,Low
pipotiazine,avoid alcohol.,High
pipotiazine,take with food. food decreases irritation.,Low
thioproperazine,avoid alcohol.,High
thioproperazine,take with food. food decreases irritation.,Low
thiothixene,avoid alcohol.,High
zuclopenthixol,avoid alcohol. acute alcohol intoxication is a contraindication for zuclopenthixol therapy.,High
zuclopenthixol,take with or without food.,Low
pargyline,"avoid tyramine-containing foods and supplements. foods that contain tyramine include yogurt, aged cheese, ripe bananas, wine, and sourdough bread.",High
etoricoxib,take with or without food. the absorption is unaffected by food.,Low
roflumilast,"take with or without food. administering roflumilast with a high-fat meal reduced and delayed the cmax and tmax, respectively, but did not impact the auc of roflumilast or its active metabolite (roflumilast n‐oxide).",Low
cocarboxylase,take with or without food. many different products contain cocarboxylase; refer to the product monograph for more specific instruction. enbrace hr and enlyte products should be taken on an empty stomach.,Low
vorinostat,take with food.,Low
cholic acid,take separate from antacids. take at least 1 hour before or 4-6 hours after aluminum-containing antacids.,Low
cholic acid,take with food.,Low
fusidic acid,take with food. food reduces irritation.,Low
flavin adenine dinucleotide,avoid alcohol. ingesting alcohol may reduce the absorption of fad.,High
oteracil,take separate from meals. oteracil should be separated from meals by at least one hour before and after eating.,Low
flavin mononucleotide,avoid alcohol. ingesting alcohol may reduce the absorption of fmn.,High
oxyphenbutazone,take with food. food reduces irritation.,Low
carbocisteine,take with or without food.,Low
trioxsalen,"avoid foods high in furanocoumarins. eating these foods while you are taking trioxsalen may increase your skin's sensitivity to sunlight. examples include limes, figs, parsley, parsnips, mustard, carrots, and celery.",High
thiotepa,"exercise caution with grapefruit products. grapefruit inhibits the cyp3a4 metabolism of thiotepa, which may increase its serum concentration.",Moderate
thiotepa,exercise caution with st. john's wort. this herb induces cyp3a4 metabolism and may reduce serum levels of thiotepa.,Moderate
estrone sulfate,take with food. food decreases nausea.,Low
fleroxacin,avoid milk and dairy products.,High
fleroxacin,limit caffeine intake.,Moderate
fleroxacin,take with a full glass of water.,Low
fleroxacin,take with or without food.,Low
coumarin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
coumarin,ensure consistent vitamin k intake.,Low
maraviroc,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of maraviroc.,High
maraviroc,take with or without food.,Low
amineptine,avoid alcohol.,High
amineptine,avoid st. john's wort.,High
amineptine,limit caffeine intake.,Moderate
amineptine,take with food. food reduces irritation.,Low
clofedanol,avoid alcohol.,High
clofedanol,take with or without food. the absorption is unaffected by food.,Low
cyclandelate,take with food. food reduces irritation.,Low
cyproterone acetate,avoid alcohol.,High
cyproterone acetate,take after a meal.,Low
debrisoquine,take with or without food. the absorption is unaffected by food.,Low
flunarizine,avoid alcohol.,High
flunarizine,take with or without food. the absorption is unaffected by food.,Low
fluspirilene,avoid alcohol.,High
tetrabenazine,avoid alcohol. ingesting alcohol may increase the drowsiness caused by tetrabenazine.,High
tetrabenazine,take with or without food.,Low
ixabepilone,"avoid grapefruit products. grapefruit inhibits the cyp3a4 metabolism of ixabepilone, which may increase its serum concentration.",High
ixabepilone,avoid st. john's wort. this herb induces cyp3a metabolism and may reduce serum levels of ixabepilone.,High
celiprolol,avoid fruit juice. orange juice may reduce the absorption of celiprolol.,High
celiprolol,avoid grapefruit products. grapefruit juice may reduce the absorption of celiprolol.,High
celiprolol,"take with or without food. the bioavailability of celiprolol may be reduced when taken with food, however, it is unlikely that this reduction is clinically relevant.",Low
roxadustat,take with or without food. food can decrease cmax but not to a clinically significant extent.,Low
febuxostat,take with or without food. a high fat meal decreases cmax and auc in a clinically insignificant way.,Low
dronedarone,avoid grapefruit products. co-administration with grapefruit may increase drug concentrations by 3-fold.,High
dronedarone,avoid st. john's wort. this herb induces cyp3a4 and may increase the serum concentration of dronedarone.,High
dronedarone,"take with food. food, especially high-fat food, increases drug absorption.",Low
nebivolol,avoid alcohol.,High
nebivolol,take with or without food.,Low
nilotinib,"avoid grapefruit products. grapefruit inhibits the cyp3a4 metabolism of nilotinib, causing increased serum levels of nilotinib.",High
nilotinib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of nilotinib.",High
nilotinib,take on an empty stomach. food increases the auc of nilotinib. separate nilotinib administration from meals by at least one hour before and two hours after eating.,Low
lorcaserin,take with or without food.,Low
vildagliptin,"take with or without food. food reduces cmax and delays tmax, but not in a clinically significant way.",Low
bepotastine,take with or without food. orally formulated bepotastine bioavailability is not significantly impacted by food.,Low
milnacipran,"avoid excessive or chronic alcohol consumption. avoid excessive or chronic alcohol consumption. milnacipran may worsen liver disease, which is potentially caused by excessive alcohol use.",High
milnacipran,take with or without food. taking milnacipran with food may improve its tolerability.,Low
ximelagatran,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
flibanserin,"avoid alcohol. avoid alcohol. ingesting alcohol may increase the cns depressant and hypotensive effects of flibanserin. if you have consumed two drinks, wait two hours before taking flibanserin. do not take flibanserin if you have consumed more than three drinks.",High
flibanserin,avoid grapefruit products.,High
flibanserin,avoid st. john's wort.,High
flibanserin,"take with or without food. taking flibanserin with food (especially a high-fat meal) may increase its auc, cmax, and tmax.",Low
desmoteplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
defibrotide,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
ospemifene,take with food.,Low
crofelemer,take with or without food.,Low
iloperidone,"avoid excessive or chronic alcohol consumption. alcohol may worsen the cns effects of iloperidone, such as dizziness.",High
iloperidone,"take with or without food. a high-fat meals may delay the tmax of iloperidone and its metabolites, without significantly changing the cmax or auc.",Low
lofexidine,avoid excessive or chronic alcohol consumption. lofexidine may potentiate the cns depressant effects of alcohol.,High
lofexidine,take with or without food.,Low
pirfenidone,take at the same time every day.,Low
pirfenidone,take with food. food decreased the rate and extent of absorption. food reduces the incidence of drug-related adverse reactions.,Low
ezogabine,"take with or without food. high-fat meals alter drug absorption, but not to a clinically significant extent.",Low
ingenol mebutate,take with or without food.,Low
migalastat,avoid caffeine. co-administration of galafold with caffeine decreases migalastat auc and cmax which may reduce its efficacy.,High
migalastat,take at the same time every day.,Low
migalastat,take on an empty stomach. avoid eating for at least two hours before and after taking migalastat.,High
arimoclomol,take with or without food. food has negligible effects on the pharmacokinetics of arimoclomol.,Low
abaloparatide,"administer vitamin supplements. if dietary intake is inadequate, patients should receive supplemental calcium and vitamin d.",Low
abaloparatide,take at the same time every day.,Low
abaloparatide,take with or without food.,Low
ganaxolone,"take with food. co-administration with food increases ganaxalone cmax and auc by 3- and 2-fold, respectively. in clinical trials to establish efficacy, ganaxolone was administered with food.",Low
ancrod,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
trabectedin,avoid alcohol. there may be an additive hepatotoxic effect if alcohol and trabectedin are coadministered.,High
trabectedin,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of trabectedin.",High
trabectedin,"exercise caution with grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of trabectedin.",Moderate
pretomanid,avoid alcohol. consuming alcohol may increase the risk of hepatotoxicity.,High
pretomanid,take with food.,Low
elafibranor,"take with or without food. a high-fat and high-calorie meal delays tmax and decreases cmax and auc, but not to a clinically significant extent.",Low
beraprost,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
cobimetinib,"avoid grapefruit products. grapefruit inhibits the metabolism of cobimetinib through the cyp3a4 pathway and, therefore, may increase serum levels of cobimetinib.",High
cobimetinib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce serum levels of cobimetinib.",High
cobimetinib,take with or without food. cobimetinib bioavailability is unaffected by food.,Low
methsuximide,avoid alcohol.,High
methsuximide,take with food.,Low
vandetanib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum levels of vandetanib.",High
vandetanib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum levels of vandetanib.",High
vandetanib,take with or without food.,Low
pimavanserin,avoid grapefruit products. dose adjustment may be necessary if taking grapefruit products or other cyp3a4 inhibitors.,High
pimavanserin,"avoid st. john's wort. this may induce the cyp3a4 metabolism of pimavanserin, which may cause reduced efficacy.",High
pimavanserin,take with or without food.,Low
dexlansoprazole,"avoid st. john's wort. it may induce the cyp3a4 metabolism of dexlansoprazole, possibly leading to reduced efficacy.",High
dexlansoprazole,take with or without food. dexlansoprazole's dual delayed release formulation allows it to be taken without regard to food in contrast to other ppis.,Low
iodine,"avoid goitrogenic foods. these include soy, cassava, cabbage, broccoli, cauliflower, and other cruciferous vegetables.",High
palovarotene,avoid grapefruit products. grapefruit-containing products may inhibit the cyp3a4 activity responsible for palovarotene metabolism.,High
palovarotene,avoid st. john's wort. the significant induction of cyp3a4 metabolism caused by st. john's wort may decrease the effectiveness of palovarotene.,High
palovarotene,take with food. co-administration with food increases the oral absorption of palovarotene.,Low
mavorixafor,"take on an empty stomach. take drug after an overnight fast, 30 minutes before food. food decreases drug exposure.",Low
mavorixafor,take with or without food. grapefruit may decrease mavorixafor metabolism and increase the risk of drug adverse reactions.,Low
telaprevir,avoid st. john's wort. st. john's wort will decrease levels of this medication.,High
mipomersen,avoid excessive or chronic alcohol consumption. alcohol may increase the risk of liver injury.,High
brivaracetam,"avoid alcohol. taking brivaracetam with alcohol may increase alcohol's effects on attention, memory, and psychomotor functioning.",High
brivaracetam,take with or without food.,Low
levoketoconazole,"avoid excessive or chronic alcohol consumption. concomitant alcohol consumption may result in a disulfiram-like reaction characterized by rash, flushing, peripheral edema, nausea, and headache. these symptoms typically subside within hours.",High
levoketoconazole,"take with or without food. in healthy subjects administered a single 600 mg oral dose of levoketoconazole, a high-fat meal increased the auc by 30% with no change in the maximum plasma concentration but a delay to reach this value of between two and four hours. these changes are not considered clinically significant.",Low
apremilast,"avoid st. john's wort. apremilast is a cyp3a substrate; therefore, co-administration with st. john's wort, a cyp3a inducer, may reduce the serum level of apremilast.",High
apremilast,take with or without food.,Low
trastuzumab emtansine,"avoid grapefruit products. trastuzumab emtansine undergoes metabolism through cyp3a4 therefore coadministration with grapefruit, a cyp3a4 inhibitor, may increase serum levels of trastuzumab emtansine.",High
abiraterone,exercise caution with st. john's wort. this herb induces cyp3a4 and may increase the serum levels of abiraterone.,Moderate
abiraterone,"take on an empty stomach. food increases cmax and auc. take zytiga , a product of abiraterone, at least 1 hour before or 2 hours after eating as food may increase exposure to abiraterone by 4-fold.",Low
abiraterone,"take with or without food. food increases cmax and auc. yonsa, a product of abiraterone, can be taken with or without food.",Low
obeticholic acid,take with or without food.,Low
cariprazine,"avoid excessive or chronic alcohol consumption. given the primary central nervous system effects of cariprazine, cariprazine should be used with caution in combination with alcohol.",High
cariprazine,avoid grapefruit products. grapefruit is a known cyp3a4 inhibitor. it may increase drug levels and elevate the risk of drug adverse effects.,High
cariprazine,avoid st. john's wort. st john’s wort is a known cyp3a4 inducer. it may significantly decrease drug exposure and alter drug efficacy.,High
cariprazine,"take with or without food. a high-fat, high-calorie meal may delay tmax, but food generally has no significant effect on drug exposure.",Low
trofinetide,take with or without food. food decreases cmax of trofinetide but has negligible effects on total drug exposure.,Low
lumateperone,"avoid grapefruit products. grapefruit inhibits the cyp3a4 metabolism of lumateperone, which may increase its serum concentration.",High
lumateperone,"avoid st. john's wort. this herb induces the cyp3a4 metabolism of lumateperone, causing a reduction in its serum concentration.",High
lumateperone,take with food. administration with food reduces the cmax by 33% and prolongs the tmax by one hour.,Low
cenobamate,avoid alcohol. alcohol may increase somnolence and sedation.,High
cenobamate,take with or without food.,Low
spiramycin,no food interactions are expected.,Low
nylidrin,take with or without food. the absorption is unaffected by food.,Low
pizotifen,take with or without food. the absorption is unaffected by food.,Low
pentaerythritol tetranitrate,"take with or without food. food delays drug absorption, but not to a significant extent.",Low
canakinumab,take with or without food.,Low
romidepsin,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of romidepsin.",High
romidepsin,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce serum levels of romidepsin.",High
rufinamide,take with food. food can increase the absorption of rufinamide.,Low
alogliptin,take with or without food.,Low
tapentadol,"avoid alcohol. due to the additive pharmacological effect, the concomitant use with alcohol increases the risk for central nervous system depression, respiratory depression, profound sedation, coma, and death.",High
tapentadol,"take with or without food. a high-fat, high-calorie meal increases absorption, but not to a clinically significant extent.",Low
silodosin,take with food. a moderate fat or calorie meal decreases drug exposure as well as the risk of adverse effects.,Low
prasugrel,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
prasugrel,take with or without food.,Low
eltrombopag,"avoid multivalent ions. polyvalent cations in food or supplements will be chelated by eltrombopag; therefore, they should be separated by 4 hours before or 2 hours after taking eltrombopag.",High
eltrombopag,take on an empty stomach. separate the administration of eltrombopag from food by at least 1 hour before and 2 hours after eating.,Low
tolvaptan,avoid excessive or chronic alcohol consumption. this may increase the risk of developing osmotic demyelination syndrome.,High
tolvaptan,"avoid grapefruit products. grapefruit inhibits the cyp3a metabolism of tolvaptan, which may increase its serum concentration.",High
tolvaptan,avoid st. john's wort. this herb induces the cyp3a metabolism of tolvaptan and may reduce its serum concentration.,High
tolvaptan,take with or without food.,Low
regadenoson,avoid caffeine. do not consume caffeine for at least 12 hours before the administration of regadenoson as caffeine can reduce the ability to detect ischemic changes.,High
asenapine,take separate from meals. do not have food or water for 10 minutes after administration.,Low
lacosamide,take with or without food. food does not affect the rate and extent of absorption.,Low
rivaroxaban,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
rivaroxaban,avoid st. john's wort. co-administration will decrease levels of this medication.,High
rivaroxaban,take with food. rivaroxaban 15-20mg dose should be taken with food as food significantly impacts the bioavailability at that dose.,Low
rivaroxaban,take with or without food. rivaroxaban 10mg dose can be taken with or without food as it does not significantly impact the bioavailability at that dose.,Low
nalmefene,"take with or without food. high-fat food increases the auc by 30% and cmax by 50% and delays tmax by 30 min, but this is unlikely of clinical relevance.",Low
maribavir,avoid st. john's wort. co-administration with st. john's wort decreases serum levels of maribavir and may decrease its therapeutic efficacy.,High
maribavir,take with or without food. the co-administration of food with maribavir does not significantly affect its disposition.,Low
avanafil,avoid excessive or chronic alcohol consumption. substantial alcohol consumption (e.g. >3 units) in combination with avanafil may increase the risk of hypotension.,High
avanafil,"take with or without food. high-fat meals slow absorption, but not to a clinically significant extent.",Low
eflornithine,take with or without food.,Low
droxidopa,take with or without food. take consistently with regard to food.,Low
sitaxentan,take with or without food.,Low
sulodexide,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
alvimopan,"take with or without food. high-fat meals may reduce the cmax and auc by 38% and 21%, respectively; however, the clinical significance of this is unknown.",Low
levocetirizine,avoid alcohol.,High
levocetirizine,take with or without food.,Low
ziconotide,avoid excessive or chronic alcohol consumption. ingesting alcohol may increase the cns depressive effects of ziconotide.,High
teriparatide,take with or without food.,Low
temsirolimus,"avoid grapefruit products. grapefruit inhibits the cyp3a4 metabolism of temsirolimus, which may increase its serum concentration.",High
temsirolimus,avoid st. john's wort. this herb induces the cyp3a4 metabolism of temsirolimus and may reduce its serum concentration.,High
amisulpride,avoid alcohol. amisulpride may enhance the effects of alcohol.,High
amisulpride,"take with or without food. a high fat meal does not significantly affect drug pharmacokinetics, although a carbohydrate rich meal decreases drug absorption and levels.",Low
simeprevir,take with food.,Low
dapagliflozin,avoid excessive or chronic alcohol consumption. binge drinking or drinking alcohol often may predispose patients to ketoacidosis.,High
dapagliflozin,take with or without food.,Low
semuloparin,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
saxagliptin,take with food. food increases total drug exposure.,Low
elacestrant,take with food. take with food to reduce nausea and vomiting.,Low
bazedoxifene,administer calcium supplement. if calcium intake from food is inadequate administer calcium supplements to prevent hypocalcemia.,Low
bazedoxifene,"administer vitamin supplements. if dietary intake of vitamin d is inadequate, then administer vitamin d supplements to avoid deficiency of vitamin d and calcium.",High
bazedoxifene,take at the same time every day.,Low
bazedoxifene,take with or without food. taking bazedoxifene with food may increase its auc by 25% but does not impact the cmax.,Low
idraparinux,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
doxercalciferol,"avoid antacids. specifically, avoid magnesium-containing antacids as co-administration with doxercalciferol increases the risk of hypermagnesemia.",High
armodafinil,avoid alcohol.,High
armodafinil,"exercise caution with grapefruit products. armodafinil is partially metabolized by cyp3a4, and grapefruit is a cyp3a4 inhibitor.",Moderate
armodafinil,"exercise caution with st. john's wort. armodafinil is partially metabolized by cyp3a4, and st. john's wort is a cyp3a4 inducer.",Moderate
armodafinil,take with or without food. taking armodafinil with food can delay the tmax by 2-4 hours.,Low
etravirine,"avoid grapefruit products. grapefruit inhibits the cyp3a metabolism of etravirine, which may increase its serum concentration.",High
etravirine,avoid st. john's wort. this herb induces the cyp3a metabolism of etravirine and may reduce its serum concentration.,High
etravirine,take after a meal. take after meals. this increases the bioavailability of etravirine.,Low
cangrelor,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
lonafarnib,avoid grapefruit products. co-administration with strong or moderate cyp3a inhibitors is contraindicated; avoid consuming grapefruit or seville oranges.,High
lonafarnib,"take with food. administration with food is recommended to reduce gastrointestinal adverse reactions. however, co-administration with food does affect lonafarnib absorption.",Low
prucalopride,take with or without food.,Low
pazopanib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of pazopanib.",High
pazopanib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of pazopanib.",High
pazopanib,take on an empty stomach. separate pazopanib from meals by at least 1 hour before and 2 hours after eating as food increases pazopanib bioavailability.,Low
pazopanib,take separate from antacids. separate the administration of pazopanib and antacids by several hours.,Low
midostaurin,avoid st. john's wort. this herb induces the cyp3a4 metabolism of midostaurin and may reduce its serum concentration.,High
midostaurin,"exercise caution with grapefruit products. grapefruit inhibits the cyp3a4 metabolism of midostaurin, which may increase its serum concentration.",Moderate
midostaurin,"take with food. taking midostaurin with food increases the auc, but it also prolongs the tmax and reduces cmax.",Low
panobinostat,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of panobinostat.",High
panobinostat,"exercise caution with st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of panobinostat.",Moderate
panobinostat,take at the same time every day.,Low
panobinostat,take with a full glass of water.,Low
panobinostat,take with or without food.,Low
apixaban,avoid grapefruit products.,High
apixaban,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
apixaban,avoid st. john's wort. st. john's wort will decrease levels of this medication.,High
apixaban,take with or without food.,Low
tafenoquine,take with food.,Low
bosutinib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of bosutinib.",High
bosutinib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of bosutinib.",High
bosutinib,take with food. coadministration with a high-fat meal may increase the auc of bosutinib.,Low
axitinib,"avoid grapefruit products. grapefruit inhibits cyp3a4 metabolism, which may increase the serum concentration of axitinib.",High
axitinib,"avoid st. john's wort. this herb induces cyp3a4 metabolism, which may reduce the serum concentration of axitinib.",High
axitinib,take with a full glass of water.,Low
axitinib,take with or without food.,Low
otamixaban,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
isavuconazonium,avoid grapefruit products. grapefruit is a moderate to strong inhibitor of cyp3a4. strong cyp3a4 inhibitors are contraindicated with isavuconazonium.,High
isavuconazonium,avoid st. john's wort. this herb induces the cyp3a4 metabolism of isavuconazonium and may reduce its serum concentration. co-administration of isavuconazonium with st. john's wort is contraindicated.,High
isavuconazonium,take with or without food. the bioavailability of isavuconazonium is not significantly impacted by food.,Low
dalfampridine,"take with or without food. high-fat meals increase drug absorption, but not to a clinically significant extent.",Low
denosumab,administer calcium supplement. calcium supplements should be used as necessary to prevent hypocalcemia.,Low
denosumab,administer vitamin supplements. vitamin d should be administered as necessary to complement calcium in preventing hypocalcemia.,Low
safinamide,avoid excessive or chronic alcohol consumption. ingesting alcohol may increase the sedative effects of safinamide.,High
safinamide,"avoid st. john's wort. this herb may increase the risk of serotonin syndrome, and therefore, concomitant use is contraindicated.",High
safinamide,"avoid tyramine-containing foods and supplements. avoid foods containing high amounts of tyramine (>150mg) as these foods may cause a significant elevation in blood pressure. tyramine-containing foods include cheese, red wine, fava beans, pickled food, cured food, and alcoholic beverages.",High
safinamide,take at the same time every day.,Low
safinamide,take with or without food.,Low
liraglutide,take with or without food.,Low
amediplase,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
vilazodone,avoid alcohol.,High
vilazodone,avoid st. john's wort.,High
vilazodone,take with food.,Low
mepyramine,avoid alcohol.,High
mepyramine,take with food.,Low
mevastatin,avoid alcohol.,High
mevastatin,avoid grapefruit products.,High
dabigatran etexilate,"avoid herbs and supplements with anticoagulant/antiplatelet activity. examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",High
dabigatran etexilate,avoid st. john's wort. this herb induces pgp which may reduce the serum levels of dabigatran.,High
dabigatran etexilate,take with a full glass of water.,Low
dabigatran etexilate,take with or without food.,Low
